area,item,area_crop_rainfall_median,area_crop_temp_median
Albania,Maize,1485.0,16.45
Albania,Potatoes,1485.0,16.45
Albania,"Rice, paddy",1485.0,16.055
Albania,Sorghum,1485.0,16.06
Albania,Soybeans,1485.0,16.45
Albania,Wheat,1485.0,16.45
Algeria,Maize,89.0,17.59
Algeria,Potatoes,89.0,17.59
Algeria,"Rice, paddy",89.0,17.59
Algeria,Sorghum,89.0,17.57
Algeria,Wheat,89.0,17.59
Angola,Cassava,1010.0,24.24
Angola,Maize,1010.0,24.24
Angola,Potatoes,1010.0,24.24
Angola,"Rice, paddy",1010.0,24.24
Angola,Sorghum,1010.0,24.33
Angola,Soybeans,1010.0,24.33
Angola,Sweet potatoes,1010.0,24.24
Angola,Wheat,1010.0,24.24
Argentina,Cassava,591.0,17.69
Argentina,Maize,591.0,17.69
Argentina,Potatoes,591.0,17.69
Argentina,"Rice, paddy",591.0,17.69
Argentina,Sorghum,591.0,17.69
Argentina,Soybeans,591.0,17.69
Argentina,Sweet potatoes,591.0,17.69
Argentina,Wheat,591.0,17.69
Armenia,Maize,562.0,9.58
Armenia,Potatoes,562.0,9.58
Armenia,Wheat,562.0,9.58
Australia,Maize,534.0,17.2
Australia,Potatoes,534.0,17.2
Australia,"Rice, paddy",534.0,17.2
Australia,Sorghum,534.0,17.2
Australia,Soybeans,534.0,17.2
Australia,Sweet potatoes,534.0,17.2
Australia,Wheat,534.0,17.2
Austria,Maize,1110.0,9.17
Austria,Potatoes,1110.0,9.17
Austria,Sorghum,1110.0,9.42
Austria,Soybeans,1110.0,9.17
Austria,Wheat,1110.0,9.17
Azerbaijan,Maize,447.0,12.66
Azerbaijan,Potatoes,447.0,12.66
Azerbaijan,"Rice, paddy",447.0,12.66
Azerbaijan,Sorghum,447.0,12.455
Azerbaijan,Soybeans,447.0,12.7
Azerbaijan,Wheat,447.0,12.66
Bahamas,Cassava,1292.0,25.46
Bahamas,Maize,1292.0,25.46
Bahamas,Plantains and others,1292.0,25.61
Bahamas,Sweet potatoes,1292.0,25.46
Bahrain,Potatoes,83.0,27.01
Bahrain,Sweet potatoes,83.0,26.134999999999998
Bangladesh,Maize,2666.0,26.09
Bangladesh,Potatoes,2666.0,26.09
Bangladesh,"Rice, paddy",2666.0,26.09
Bangladesh,Sorghum,2666.0,26.09
Bangladesh,Soybeans,2666.0,26.28
Bangladesh,Sweet potatoes,2666.0,26.09
Bangladesh,Wheat,2666.0,26.09
Belarus,Maize,618.0,6.71
Belarus,Potatoes,618.0,6.71
Belarus,Wheat,618.0,6.71
Belgium,Maize,847.0,11.0
Belgium,Potatoes,847.0,11.0
Belgium,Wheat,847.0,11.0
Botswana,Maize,416.0,19.54
Botswana,Sorghum,416.0,19.54
Botswana,Wheat,416.0,19.585
Brazil,Cassava,1761.0,21.91
Brazil,Maize,1761.0,21.91
Brazil,Potatoes,1761.0,21.91
Brazil,"Rice, paddy",1761.0,21.91
Brazil,Sorghum,1761.0,21.91
Brazil,Soybeans,1761.0,21.91
Brazil,Sweet potatoes,1761.0,21.91
Brazil,Wheat,1761.0,21.91
Brazil,Yams,1761.0,21.91
Bulgaria,Maize,608.0,9.51
Bulgaria,Potatoes,608.0,9.51
Bulgaria,"Rice, paddy",608.0,9.51
Bulgaria,Sorghum,608.0,9.51
Bulgaria,Soybeans,608.0,9.51
Bulgaria,Wheat,608.0,9.51
Burkina Faso,Cassava,748.0,28.77
Burkina Faso,Maize,748.0,28.77
Burkina Faso,Potatoes,748.0,28.77
Burkina Faso,"Rice, paddy",748.0,28.77
Burkina Faso,Sorghum,748.0,28.77
Burkina Faso,Soybeans,748.0,28.77
Burkina Faso,Sweet potatoes,748.0,28.77
Burkina Faso,Yams,748.0,28.77
Burundi,Cassava,1274.0,21.32
Burundi,Maize,1274.0,21.32
Burundi,Potatoes,1274.0,21.32
Burundi,"Rice, paddy",1274.0,21.32
Burundi,Sorghum,1274.0,21.32
Burundi,Soybeans,1274.0,21.32
Burundi,Sweet potatoes,1274.0,21.32
Burundi,Wheat,1274.0,21.32
Burundi,Yams,1274.0,21.32
Cameroon,Cassava,1604.0,25.21
Cameroon,Maize,1604.0,25.21
